id,long,lat,name
110,-0.172528678,51.53304322,"Wellington Road, St. John's Wood"
111,-0.157275636,51.5100172,"Park Lane , Hyde Park"
112,-0.105270275,51.51580998,"Stonecutter Street, Holborn"
113,-0.183289032,51.49646288,"Gloucester Road (Central), South Kensington"
114,-0.158963647,51.52451738,"Park Road (Baker Street), The Regent's Park"
115,-0.073537654,51.51423368,"Braham Street, Aldgate"
116,-0.141423695,51.51449962,"Little Argyll Street, West End"
117,-0.114934001,51.49288067,"Lollard Street, Vauxhall"
118,-0.13547809,51.49582705,"Rochester Row, Westminster"
119,-0.090847761,51.52589324,"Bath Street, St. Luke's"
120,-0.093080779,51.51573534,"The Guildhall, Guildhall"
121,-0.156166631,51.51891348,"Baker Street, Marylebone"
122,-0.078869751,51.52111369,"Norton Folgate, Liverpool Street"
123,-0.104724625,51.52836014,"St. John Street, Finsbury"
124,-0.150905245,51.49654462,"Eaton Square, Belgravia"
125,-0.094524319,51.50069491,"Borough High Street, The Borough"
126,-0.096496865,51.51782144,"Museum of London, Barbican"
127,-0.09388536,51.51700801,"Wood Street, Guildhall"
128,-0.185296516,51.49536226,"Emperor's Gate, South Kensington"
129,-0.137043852,51.5118973,"Golden Square, Soho"
130,-0.075459482,51.50950627,"Tower Gardens , Tower"
131,-0.136792671,51.53300545,"Eversholt Street , Camden Town"
132,-0.074754872,51.52364804,"Bethnal Green Road, Shoreditch"
133,-0.191462381,51.50136494,"Derry Street, Kensington"
134,-0.06797,51.504904,"Wapping High Street, Wapping"
135,-0.104708922,51.52326004,"Clerkenwell Green, Clerkenwell"
136,-0.097441687,51.51196176,"Queen Victoria Street, St. Paul's"
137,-0.153319609,51.49087475,"Bourne Street, Belgravia"
138,-0.157436972,51.51227622,"Green Street, Mayfair"
139,-0.117974901,51.49488108,"Lambeth Road, Vauxhall"
140,-0.085634242,51.52096262,"Finsbury Square , Moorgate"
141,-0.147203711,51.51530805,"Chapel Place, Marylebone"
142,-0.198286569,51.49372451,"West Cromwell Road, Earl's Court"
143,-0.161203828,51.4968865,"Pont Street, Knightsbridge"
144,-0.111435796,51.48894022,"Kennington Cross, Kennington"
145,-0.202759212,51.50074359,"Ilchester Place, Kensington"
146,-0.129361842,51.48836528,"Vauxhall Bridge , Pimlico"
147,-0.11614642,51.51494305,"Portugal Street, Holborn"
148,-0.138364847,51.49211134,"Tachbrook Street, Victoria"
149,-0.110683213,51.48478899,"Kennington Road Post Office, Oval"
150,-0.168917077,51.49705603,"Holy Trinity Brompton, Knightsbridge"
151,-0.201554966,51.51213691,"Chepstow Villas, Notting Hill"
152,-0.101536865,51.49217002,"Hampton Street, Walworth"
153,-0.174292825,51.51183419,"Bayswater Road, Hyde Park"
154,-0.11282408,51.50379168,"Waterloo Station 3, Waterloo"
155,-0.191933711,51.49586666,"Lexham Gardens, Kensington"
156,-0.092921165,51.49443626,"New Kent Road, The Borough"
157,-0.193068385,51.50039792,"Wright's Lane, Kensington"
158,-0.196170309,51.49085368,"Trebovir Road, Earl's Court"
159,-0.137841333,51.51461995,"Great Marlborough Street, Soho"
160,-0.131773845,51.50663341,"Waterloo Place, St. James's"
161,-0.141334487,51.49234577,"Guildhouse Street, Victoria"
163,-0.167894973,51.4931848,"Sloane Avenue, Knightsbridge"
164,-0.183118788,51.515607,"Cleveland Gardens, Bayswater"
165,-0.183716959,51.517932,"Orsett Terrace, Bayswater"
166,-0.159237081,51.50185512,"Seville Street, Knightsbridge"
167,-0.147624377,51.49395092,"Eccleston Place, Victoria"
168,-0.195455928,51.50040123,"Argyll Road, Kensington"
169,-0.165164288,51.51474612,"Porchester Place, Paddington"
170,-0.108068155,51.52784273,"Hardwick Street, Clerkenwell"
171,-0.186753859,51.4916156,"Collingham Gardens, Earl's Court"
172,-0.173715911,51.49121192,"Sumner Place, South Kensington"
173,-0.113001,51.50486,"Waterloo Road, South Bank"
174,-0.115163,51.512529,"Strand, Strand"
175,-0.0811189,51.52174384,"Appold Street, Liverpool Street"
176,-0.188098863,51.51791921,"Gloucester Terrace, Bayswater"
177,-0.140947636,51.49616092,"Ashley Place, Victoria"
178,-0.141923621,51.48985626,"Warwick Square, Pimlico"
180,-0.153645496,51.5129118,"North Audley Street, Mayfair"
181,-0.152317537,51.49941247,"Belgrave Square, Belgravia"
182,-0.165842551,51.52202903,"Bell Street , Marylebone"
183,-0.13612398,51.482362,"Riverlight North, Nine Elms"
184,-0.14521173,51.52071513,"Portland Place, Marylebone"
185,-0.140741432,51.48805753,"Alderney Street, Pimlico"
186,-0.175810943,51.51733558,"South Wharf Road, Paddington"
187,-0.178433004,51.49247977,"Queen's Gate (South), South Kensington"
188,-0.164393768,51.5165179,"Nutford Place, Marylebone"
189,-0.109914711,51.53166681,"Claremont Square, Angel"
190,-0.132845681,51.48997562,"Rampayne Street, Pimlico"
191,-0.153520935,51.50311799,"Hyde Park Corner, Hyde Park"
192,-0.133201961,51.51251523,"Wardour Street, Soho"
193,-0.100186337,51.50581776,"Bankside Mix, Bankside"
